station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
Kilphedir,58.14138911,-3.702814019,234253,37374,2025-03-23 08:00:00,4.2,4.2,5,66128010,0,34
Kinbuck,56.2255551,-3.949530685,14890,36470,2025-03-23 08:00:00,10.2,10.2,20,66070010,0,151
Kindrogan,56.74926972,-3.544931301,14955,36692,2025-03-23 08:00:00,13.6,13.6,20,66080010,0,11
Kinghorn Ecology Centre Rain Gauge,56.07462319,-3.193432968,473550,38082,2025-03-23 08:00:00,10,10,10,66223010,0,53
Kingledores,55.54240926,-3.413947163,14972,36756,2025-03-23 07:00:00,12,12,20,66623010,0,227
Kinkell Bridge,56.33018709,-3.726992915,14968,36738,2025-03-23 08:00:00,11.8,11.8,20,66083010,0,243
Kinmount House,55.01095443,-3.351411196,115596,35844,2025-03-23 08:00:00,5.4,5.4,10,66029010,0,32
Kirkcaldy,56.11765342,-3.147961765,335617,37680,2025-03-23 08:00:00,10.8,10.8,20,66173010,0,33
Kirkcowan,54.91691338,-4.612059475,115598,35848,2025-03-23 08:00:00,4.8,4.8,5,66030010,0,6
Kirkcudbright Raingauge,54.84543419,-4.038511682,504458,38202,2025-03-23 08:00:00,5.8,5.8,10,66239010,0,4
Kirkwall,58.98622363,-2.949352863,515885,38266,2025-03-23 08:00:00,12,12,20,66245010,0,220
Kirriemuir STW,56.65983513,-2.999773468,361048,37896,2025-03-23 08:00:00,11.8,11.8,20,66202010,0,102
Kirriereoch,55.15077902,-4.571934377,115599,35852,2025-03-23 08:00:00,7,7,10,66031010,0,238
Knockanrock,58.03118174,-5.07294078,115363,35668,2025-03-23 08:00:00,2.4,2.4,5,66000010,0,148
Ladyflat Farm,55.75636712,-2.369501202,368486,37934,2025-03-23 08:00:00,6,6,10,66209010,0,187
Lagafater Lodge,55.04328363,-4.913741812,115600,35856,2025-03-23 08:00:00,5.6,5.6,10,66032010,0,130
Lanark STW,55.67436394,-3.795938206,115603,35864,2025-03-23 08:00:00,8.2,8.2,10,66033010,0,177
Langwell Lodge,57.9748238,-5.100589967,354621,37844,2025-03-23 08:00:00,2.8,2.8,5,66197010,0,271
Lathro,56.2213192,-3.42872292,14902,36500,2025-03-23 08:00:00,20.2,20.2,30,66060010,0,121
Laxdale,57.86865846,-6.893581696,356217,37870,2025-03-07 10:00:00,16.4,16.4,20,66200010,1,46
Letham Grange,56.60403394,-2.609495534,338381,37788,2025-03-23 08:00:00,9.2,9.2,10,66188010,0,180
Lingerton,56.01244753,-5.422443562,133106,36148,2025-03-23 07:00:00,4.2,4.2,5,66053010,0,196
Little Assynt,58.17438109,-5.152302768,234264,37396,2025-03-23 08:00:00,10,10,10,66129010,0,189
Loch Ailsh Level,58.04827715,-4.855312073,354613,37838,2025-03-23 08:00:00,0.6,0.6,1,66196010,0,219
Loch Droma,57.73309629,-4.936434641,115368,35672,2025-03-23 08:00:00,7.8,7.8,10,66001010,0,207
Loch Katrine,56.22701614,-4.43624573,14910,459053,2025-03-23 07:00:00,6.4,6.4,10,66624010,0,64
Loch Restil,56.23604254,-4.853369348,485489,38102,2025-03-23 07:00:00,9.4,9.4,10,66172010,0,57
Loch Tormasad,57.56195723,-7.316740973,354622,37850,2025-03-23 08:00:00,11.2,11.2,20,66198010,0,132
Loch Venachar,56.23425763,-4.25686637,14898,477389,2025-03-23 08:00:00,9.2,9.2,10,66560010,0,170
Lochindorb North,57.41478835,-3.691385645,336847,37772,2025-03-23 08:00:00,9.8,9.8,10,66186010,0,236
Lochwinnoch,55.78853152,-4.618943233,509677,38240,2025-03-23 08:00:00,4.6,4.6,5,66242010,0,163
Lossiemouth,57.71918475,-3.323337879,473167,38078,2025-03-23 08:00:00,9.8,9.8,10,66171010,0,184
Low Creoch,54.90352684,-4.18922643,115611,35868,2025-03-23 08:00:00,7,7,10,66062010,0,221
Luffness,56.02022484,-2.821888561,14865,36390,2025-03-23 07:00:00,2.8,2.8,5,66056010,0,142
Luib,57.5445048,-5.123945869,115376,35692,2025-03-23 08:00:00,3.6,3.6,5,66002010,0,249
Lukeston,55.98447497,-4.240765022,327237,37636,2025-03-23 07:00:00,4.4,4.4,5,66150010,0,222
Luss Raingauge,56.09892116,-4.638863963,129558,36004,2025-03-23 08:00:00,7.4,7.4,10,66050010,0,175
Lyne Station,55.64733183,-3.25808918,14974,36764,2025-03-23 08:00:00,8.2,8.2,10,66084010,0,265
Meadowfoot,55.40534471,-3.799886702,115616,35876,2025-03-23 07:00:00,7,7,10,66035010,0,25
Merton Bank Lochmaben,55.13494009,-3.439865821,115617,35880,2025-03-23 08:00:00,7.4,7.4,10,66036010,0,199
Mill Croft,57.2886568,-7.368331541,354623,37856,2025-03-23 08:00:00,12.4,12.4,20,66199010,0,1
Mill Of Gavel,57.55561687,-2.009109628,205209,37120,2025-03-23 07:00:00,12.8,12.8,20,66116010,0,261
Millport,55.74955539,-4.907441406,115618,35884,2025-03-23 08:00:00,3,3,5,66037010,0,237
Milton of Evelix TBR,57.89128749,-4.084164503,494729,38162,2025-03-23 08:00:00,1.2,1.2,5,66233010,0,39
Minnigaff,54.9588823,-4.471659058,338429,37792,2025-03-23 08:00:00,5.8,5.8,10,66189010,0,47
Moar,56.57276553,-4.388958153,14949,36664,2025-03-23 08:00:00,15.6,15.6,20,66078010,0,267
Mongour,57.00199506,-2.388582046,115235,35564,2025-03-23 08:00:00,12.8,12.8,20,65980010,0,181
Montrose,56.69908575,-2.491155025,15078,36928,2025-03-23 08:00:00,8.2,8.2,10,66092010,0,63
Mouthbridge,55.77012815,-2.279193263,15022,36874,2025-03-23 08:00:00,6,6,10,66089010,0,135
Muirkirk STW,55.51335703,-4.096604222,115622,35892,2025-03-23 08:00:00,9,9,10,66038010,0,97
Muirshiel RG,55.84918458,-4.742664896,490986,38130,2025-03-23 07:00:00,6.4,6.4,10,66229010,0,82
Murray Burn,55.91287677,-3.317681386,372859,37992,2025-03-23 08:00:00,8.8,8.8,10,66214010,0,258
Murton,56.65077608,-2.823539396,335650,37700,2025-01-27 13:00:00,19,19,20,66177010,1,84
Mylnefield,56.46017678,-3.075838089,335651,37706,2025-03-23 08:00:00,8.4,8.4,10,66178010,0,73
Nairn Dunbar Golf Course,57.59406094,-3.842759406,341224,37796,2025-03-23 08:00:00,6.6,6.6,10,66190010,0,26
New Kelso,57.42953514,-5.429999168,234289,37438,2025-03-23 08:00:00,0.8,0.8,1,66130010,0,171
Newton of Falkland,56.25431474,-3.186268594,15083,36936,2025-03-23 08:00:00,12,12,20,66093010,0,233
Newtonairds,55.10134134,-3.742902191,115627,35896,2025-03-23 07:00:00,16.2,16.2,20,66039010,0,89
Nigg Headworks,57.13140193,-2.061103972,335797,37714,2025-03-23 08:00:00,21,21,30,66180010,0,188
North Berwick (Kingston),56.03149667,-2.734270572,335621,37688,2025-03-23 08:00:00,2.2,2.2,5,66175010,0,251
Nunraw Abbey,55.92185875,-2.653499917,15215,37100,2025-03-23 08:00:00,2.8,2.8,5,66113010,0,147
Old Mill of Newton,57.35801578,-2.577016947,367364,37914,2025-03-23 08:00:00,8.8,8.8,10,66205010,0,30
Ormiston Mill,55.54491924,-2.473314492,15007,36848,2025-03-23 07:00:00,3.6,3.6,5,66088010,0,128
Penwhapple Reservoir,55.23585144,-4.747897404,335375,37652,2025-03-23 08:00:00,4.6,4.6,5,66153010,0,169
